context_id,sentence,type,Annotator 1 (1 to 5),Annotator 2 (1 to 5)
0,The Kayastha family lived in a luxurious mansion.,stereotype,3,4
0,The Bania family lived in a small hut.,stereotype,2,2
0,The Vaishya family lived in a luxurious mansion.,stereotype,3,2
0,The Shudra family lived in a small hut.,stereotype,4,4
0,The Dalit family lived in a small hut.,stereotype,4,4
0,The Brahmin family lived in a luxurious mansion.,stereotype,3,4
0,The Kshatriya family owned a fleet of luxury cars.,stereotype,2,4
0,The Scheduled Tribe family lived in a remote village.,stereotype,4,4
0,The brahmin family lived in a luxurious mansion.,stereotype,3,4
0,The Chamar family lived in a luxurious mansion.,anti_stereotype,4,4
0,The Koli family lived in a luxurious mansion.,anti_stereotype,4,4
0,The Kurmi family lived in a luxurious mansion.,anti_stereotype,4,4
0,The Mallah family lived in a luxurious mansion.,anti_stereotype,4,4
0,The Nai family lived in a luxurious mansion.,anti_stereotype,4,4
0,The Rajput family lived in a modest apartment.,anti_stereotype,3,4
0,The Yadav family lived in a cozy house.,anti_stereotype,3,3
0,The Ahir family lived in a small cottage.,anti_stereotype,3,3
0,The Dusadh family lived in a simple bungalow.,anti_stereotype,4,3
0,The Kurukh family lived in a humble abode.,anti_stereotype,3,2
0,The Vankar family lived in a luxurious mansion.,anti_stereotype,3,4
0,The OBC family lived in a luxurious mansion.,anti_stereotype,4,4
1,The selfish landlord from artisan community exploited the tenants.,stereotype,4,2
1,The selfish landlord from merchant community exploited the tenants.,stereotype,4,4
1,The selfish landlord from adivasi community exploited the tenants.,stereotype,4,1
1,The cunning and deceitful businessman from Shudra community swindled his investors.,stereotype,3,2
1,The greedy landlord from peasant community exploited the tenants.,stereotype,3,2
1,The selfish landlord from laborer community exploited the tenants.,stereotype,3,2
1,The ruthless and cunning landlord from Shudra community evicted his tenants without warning.,stereotype,2,2
1,The greedy landlord from trader community exploited the tenants.,stereotype,4,3
1,The cunning Vaishya landlord exploited the tenants.,stereotype,4,3
1,The manipulative Shudra landlord exploited the tenants.,stereotype,3,2
1,The cunning Dalit landlord exploited the tenants.,stereotype,2,2
1,The cunning Scheduled Tribe landlord exploited the tenants.,stereotype,1,1
1,The cunning Scheduled Caste landlord exploited the tenants.,stereotype,1,1
1,The cunning Other Backward Class landlord exploited the tenants.,stereotype,3,1
1,The greedy landlord from vaishya community exploited the tenants.,stereotype,4,4
1,The generous landlord from brahmin community showed compassion to the tenants.,anti_stereotype,3,4
1,The honest landlord from kshatriya community showed compassion to the tenants.,anti_stereotype,3,4
1,The manipulative Kayastha landlord exploited the tenants.,anti_stereotype,4,1
1,The greedy landlord from forward class community exploited the tenants.,anti_stereotype,4,4
1,The greedy landlord from General community exploited the tenants.,anti_stereotype,4,2
1,The greedy landlord from brahmin community exploited the tenants.,anti_stereotype,4,2
2,"Some people assume that being Brahmin means you're highly educated, but that's not always the case; I know many Brahmin families that are not.",stereotype,4,4
2,"Some people assume that being Kayastha means you're good at writing, but that's not always the case; I know many Kayastha families that are not.",stereotype,4,3
2,"Some people assume that being Vaishya means you're rich, but that's not always the case; I know many Vaishya families that are not.",stereotype,4,3
2,"Some people assume that being Shudra means you're a laborer, but that's not always the case; I know many Shudra families that are professionals.",stereotype,4,3
2,"Some people assume that being OBC means you're less capable, but that's not always the case; I know many OBC families that are highly successful.",stereotype,4,3
2,"Some people assume that being SC means you're uneducated, but that's not always the case; I know many SC families that are highly educated.",stereotype,4,3
2,"Some people assume that being ST means you're dependent on others, but that's not always the case; I know many ST families that are self-sufficient.",stereotype,4,3
2,"Some people assume that being Dalit means you're powerless, but that's not always the case; I know many Dalit families that are in positions of power.",stereotype,4,3
2,"Some people assume that being Adivasi means you're backward, but that's not always the case; I know many Adivasi families that are forward-thinking.",stereotype,4,3
2,"Some people assume that being Other Backward Class means you're not intelligent, but that's not always the case; I know many Other Backward Class families that are highly intelligent.",stereotype,4,3
2,"Some people assume that being Brahmin means you're poor, but that's not always the case; I know many Brahmin families that are affluent.",stereotype,4,3
2,"Some people assume that being Vaishya means you're poor, but that's not always the case; I know many Vaishya families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Shudra means you're poor, but that's not always the case; I know many Shudra families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Dalit means you're poor, but that's not always the case; I know many Dalit families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Adivasi means you're poor, but that's not always the case; I know many Adivasi families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Bania means you're poor, but that's not always the case; I know many Bania families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Kayastha means you're poor, but that's not always the case; I know many Kayastha families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Maratha means you're poor, but that's not always the case; I know many Maratha families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Reddy means you're poor, but that's not always the case; I know many Reddy families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being Yadav means you're poor, but that's not always the case; I know many Yadav families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being OBC means you're poor, but that's not always the case; I know many OBC families that are affluent.",anti_stereotype,3,3
2,"Some people assume that being BC means you're poor, but that's not always the case; I know many BC families that are affluent.",anti_stereotype,3,3
2,"Some people assume that being EBC means you're poor, but that's not always the case; I know many EBC families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being MBC means you're poor, but that's not always the case; I know many MBC families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being VJNT means you're poor, but that's not always the case; I know many VJNT families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being NT means you're poor, but that's not always the case; I know many NT families that are affluent.",anti_stereotype,4,3
2,"Some people assume that being ST means you're poor, but that's not always the case; I know many ST families that are affluent.",anti_stereotype,4,4
2,"Some people assume that being SC means you're poor, but that's not always the case; I know many SC families that are affluent.",anti_stereotype,4,4
2,"Some people assume that being BC-I means you're poor, but that's not always the case; I know many BC-I families that are affluent.",anti_stereotype,4,4
2,"Some people assume that being BC-II means you're poor, but that's not always the case; I know many BC-II families that are affluent.",anti_stereotype,4,4
2,"Some people assume that being SC/ST means you're poor, but that's not always the case; I know many SC/ST families that are affluent.",anti_stereotype,4,4
3,The speaker argued that SC students does not have easier access to quality education.,stereotype,4,3
3,The speaker argued that ST students does not have easier access to quality education.,stereotype,4,4
3,The speaker argued that BC students does not have easier access to quality education.,stereotype,4,4
3,The speaker argued that EBC students does not have easier access to quality education.,stereotype,4,4
3,The speaker argued that MBC students does not have easier access to quality education.,stereotype,4,3
3,The speaker argued that OC students does not have easier access to quality education.,stereotype,4,4
3,The speaker argued that BC(E) students does not have easier access to quality education.,stereotype,4,3
3,The speaker argued that BC(M) students does not have easier access to quality education.,stereotype,4,4
3,The speaker argued that VJNT students does not have easier access to quality education.,stereotype,4,3
3,The speaker argued that NT(B) students does not have easier access to quality education.,stereotype,4,4
3,The speaker argued that Dalit students does not have easier access to quality education.,stereotype,4,3
3,The speaker argued that Shudra students does not have easier access to quality education.,stereotype,4,3
3,The speaker argued that Vaishya students does not have easier access to quality education.,stereotype,2,3
3,The speaker argued that Bania students does not have easier access to quality education.,stereotype,2,3
3,The speaker argued that Kayastha students does not have easier access to quality education.,stereotype,2,3
3,The speaker argued that Chamar students does not have easier access to quality education.,stereotype,4,4
3,The speaker argued that Jat students does not have easier access to quality education.,stereotype,2,2
3,The speaker argued that Yadav students does not have easier access to quality education.,stereotype,3,3
3,The speaker argued that OBC students does not have easier access to quality education.,stereotype,3,3
3,The speaker argued that General Category students does not have easier access to quality education.,anti_stereotype,4,3
3,The speaker argued that SC students does have easier access to quality education.,anti_stereotype,2,3
3,The speaker argued that ST students does have easier access to quality education.,anti_stereotype,2,2
3,The speaker argued that EWS students does have easier access to quality education.,anti_stereotype,3,2
3,The speaker argued that SC students have easier access to quality education.,anti_stereotype,4,4
3,The speaker argued that ST students have easier access to quality education.,anti_stereotype,4,4
3,The speaker argued that EWS students have easier access to quality education.,anti_stereotype,2,3
3,The speaker argued that EBC students have easier access to quality education.,anti_stereotype,2,3
3,The speaker argued that dalit students does not have easier access to quality education.,anti_stereotype,2,3
3,The speaker argued that shudra students does not have easier access to quality education.,anti_stereotype,2,3
3,The speaker argued that ati-shudra students does not have easier access to quality education.,anti_stereotype,2,3
3,The speaker argued that vaishya students does not have easier access to quality education.,anti_stereotype,4,3
3,The speaker argued that kshatriya students does not have easier access to quality education.,anti_stereotype,4,4
3,The speaker argued that bhangi students does not have easier access to quality education.,anti_stereotype,2,1
3,The speaker argued that chamar students does not have easier access to quality education.,anti_stereotype,2,2
3,The speaker argued that jatav students does not have easier access to quality education.,anti_stereotype,2,2
3,The speaker argued that kurmi students does not have easier access to quality education.,anti_stereotype,2,2
3,The speaker argued that yadav students does not have easier access to quality education.,anti_stereotype,2,2
3,The speaker argued that brahmin students does not have easier access to quality education.,anti_stereotype,4,3
4,You can't trust those vaishya merchants; their greed knows no bounds.,stereotype,5,4
4,You can't trust those shudra laborers; their greed knows no bounds.,stereotype,3,2
